# German main-verb lemma frequency ranking (top 5000).
# Source: UD German-HDT (Universal Dependencies release of the Hamburg
#   Dependency Treebank), https://github.com/UniversalDependencies/UD_German-HDT
#   License: CC BY-SA 4.0 — this derived list is likewise CC BY-SA 4.0.
# Method: XPOS VV* tokens; PTKVZ separable prefixes re-attached to head lemma;
#   lemmas lowercased and restricted to /^[a-zäöüß]+n$/. See docs/adr/0009.
# Extracted: 2026-07-23 by tools/extract-verb-frequency.mjs.
rank,lemma,freq
1,geben,4575
2,sagen,4066
3,machen,3594
4,kommen,3387
5,lassen,3363
6,sehen,2479
7,anbieten,2448
8,stehen,2321
9,gehen,2215
10,liegen,2148
11,erklären,2106
12,ankündigen,2030
13,bringen,1754
14,erwarten,1745
15,bleiben,1729
16,heißen,1656
17,zeigen,1645
18,finden,1627
19,nutzen,1529
20,erhalten,1523
21,stellen,1475
22,entwickeln,1457
23,bieten,1455
24,halten,1398
25,berichten,1393
26,vorstellen,1383
27,erreichen,1377
28,arbeiten,1337
29,meinen,1334
30,planen,1262
31,führen,1234
32,gehören,1224
33,kosten,1201
34,verkaufen,1189
35,übernehmen,1149
36,laufen,1109
37,mitteilen,1088
38,ermöglichen,1075
39,rechnen,1060
40,bekommen,985
41,setzen,975
42,unterstützen,973
43,nehmen,971
44,bekanntgeben,964
45,steigen,962
46,nennen,959
47,handeln,927
48,gelten,921
49,enthalten,890
50,fordern,878
51,bestätigen,846
52,kaufen,838
53,starten,835
54,einsetzen,808
55,betonen,803
56,veröffentlichen,791
57,ausgehen,790
58,bestehen,780
59,entscheiden,756
60,scheinen,752
61,liefern,745
62,zahlen,739
63,schaffen,734
64,betreffen,732
65,beteiligen,717
66,schreiben,697
67,beginnen,685
68,versuchen,671
69,sorgen,669
70,sprechen,651
71,betragen,649
72,erscheinen,641
73,melden,623
74,fallen,614
75,präsentieren,605
76,vorsehen,603
77,schließen,592
78,benutzen,565
79,verfügen,560
80,wissen,553
81,folgen,550
82,suchen,550
83,befinden,541
84,entsprechen,537
85,darstellen,533
86,besitzen,530
87,bezahlen,526
88,warnen,523
89,gewinnen,522
90,entstehen,518
91,versprechen,506
92,hoffen,503
93,erzielen,502
94,ziehen,495
95,einstellen,494
96,aufnehmen,493
97,verlieren,493
98,angeben,486
99,bezeichnen,484
100,betreiben,479
101,ändern,476
102,wachsen,475
103,verwenden,474
104,verlangen,473
105,erfolgen,471
106,dienen,468
107,gründen,458
108,stattfinden,458
109,tun,456
110,erlauben,452
111,reagieren,452
112,erhöhen,449
113,äußern,448
114,aufbauen,437
115,ausliefern,437
116,abschließen,436
117,herstellen,434
118,steigern,434
